# Vygenerováno z Excelu – sloupce: Otázka, Možnosti (oddělené ;), Správná odpověď
Otázka	Možnosti	Správná
Jak se jmenoval kronikář Rychlých šípů?	Mirek Dušín;Jindra Hojer;Červenáček;Metelka	Jindra Hojer
Kdo byl vůdcem Vontů?	Štětináč;Velký Vont;Losna;Mažňák	Velký Vont
Jak se jmenoval legendární vůdce Vontů?	Tleskač;Losna;Dušín;Hojer	Losna
Kdo byl protivníkem Losny?	Tleskač;Mažňák;Bidlo;Bohouš	Mažňák
Jak se jmenovala hlavní tajemná ulička ve Stínadlech?	Úzká ulička;Rozdělovací třída;Temná stezka;Staré náměstí	Rozdělovací třída
Co ukrýval ježek v kleci?	Mapu;Plán létajícího kola;Peníze;Klíč	Plán létajícího kola
Jak se jmenoval vynálezce létajícího kola?	Mirek Dušín;Jan Tleskač;Losna;Metelka	Jan Tleskač
Kde Jan Tleskač zemřel?	Ve škole;Na věži;Na ulici;V lese	Na věži
Jak se jmenoval hlavní nepřítel Rychlých šípů?	Štětináč;Mažňák;Dlouhé Bidlo;Bohouš	Štětináč
Jak se jmenoval pes Rychlých šípů?	Rex;Bublina;Azor;Punťa	Bublina
Kdo byl nejmenší z Rychlých šípů?	Dušín;Červenáček;Hojer;Metelka	Červenáček
Kdo byl nejsilnější?	Rychlonožka;Metelka;Dušín;Hojer	Metelka
Kdo byl nejrychlejší?	Dušín;Rychlonožka;Hojer;Červenáček	Rychlonožka
Jaký časopis vydávali?	Šíp;Tam-Tam;Klub;Noviny	Tam-Tam
Jaký byl hlavní znak klubu?	Vlajka;Odznak;Šíp;Kniha	Šíp
Jaký byl vztah ke Stínadlům?	Neznali je;Báli se jich;Dobrodružství;Nenáviděli je	Dobrodružství
Kdo byl Dlouhé Bidlo?	Člen šípů;Člen Bratrstva kočičí pracky;Vont;Policista	Člen Bratrstva kočičí pracky
Jak se jmenoval další člen Bratrstva?	Bohouš;Metelka;Hojer;Dušín	Bohouš
Jaký předmět byl symbolem příběhu?	Prsten;Ježek v kleci;Kniha;Meč	Ježek v kleci
Kdo napsal Rychlé šípy?	Čapek;Foglar;Lada;Němcová	Foglar
Jaký byl styl příběhů?	Horor;Dobrodružný;Sci-fi;Historický	Dobrodružný
Kde se scházeli?	Klubovna;Park;Škola;Hřiště	Klubovna
Jaký byl Mirek Dušín?	Zlý;Poctivý;Líný;Zlomyslný	Poctivý
Jaký byl Červenáček?	Silný;Chytrý;Líný;Rychlý	Chytrý
Jaký byl Metelka?	Slabý;Technický;Líný;Pomalý	Technický
Jaký byl Hojer?	Kronikář;Vůdce;Nepřítel;Policista	Kronikář
Jaký byl Rychlonožka?	Silný;Rychlý;Tichý;Slabý	Rychlý
Co často dělali?	Spali;Dobrodružství;Pracovali;Bojovali	Dobrodružství
Kdo byl Štětináč?	Hrdina;Padouch;Policista;Učitel	Padouch
Jaké město inspirovalo Stínadla?	Brno;Praha;Plzeň;Ostrava	Praha
Kdo byl autorův vzor pro klub?	Skauti;Sportovci;Vojáci;Studenti	Skauti
Jaký byl hlavní motiv?	Peníze;Přátelství;Moc;Strach	Přátelství
Jaký předmět byl klíčový?	Kniha;Ježek;Klíč;Mapy	Ježek
Jaký byl vztah k pravidlům?	Nedodržovali;Dodržovali;Ignorovali;Neznali	Dodržovali
Jaký byl styl vedení Dušína?	Přísný;Spravedlivý;Chaotický;Lhostejný	Spravedlivý
Jaký byl význam Stínadel?	Nebezpečí;Tajemství;Historie;Obchod	Tajemství
Kdo byl hlavní rival?	Hojer;Štětináč;Dušín;Metelka	Štětináč
Jaký byl hlavní symbol Vontů?	Klíč;Ježek;Meč;Kruh	Ježek
Co znamenalo být Vontem?	Člen klubu;Obyvatel Stínadel;Policista;Učitel	Obyvatel Stínadel
Jaký byl hlavní konflikt?	Peníze;Ježek;Moc;Válka	Ježek
Kdo byl Losna?	Hrdina;Vůdce Vontů;Nepřítel;Policista	Vůdce Vontů
Kdo byl Mažňák?	Hrdina;Rival;Policista;Učitel	Rival
Jaký byl styl Foglara?	Realistický;Dobrodružný;Sci-fi;Horor	Dobrodružný
Jaký byl hlavní cíl klubu?	Peníze;Přátelství a čest;Moc;Sláva	Přátelství a čest
Jaký byl význam ježka?	Hračka;Tajemství;Peníze;Ozdoba	Tajemství
Jaký byl charakter příběhů?	Temný;Morální;Sci-fi;Historický	Morální
Jaký byl vliv Rychlých šípů?	Malý;Velký;Žádný;Krátký	Velký
Kdo byl autor?	Foglar;Čapek;Lada;Němcová	Foglar
Jaký byl hlavní přínos?	Zábava;Výchova;Peníze;Historie	Výchova
